A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
27.0,2.0,1.0,5.0,1.32264,18-29,Urbana,Mujer
63.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
53.0,1.0,1.0,5.0,1.8983,45-59,Urbana,Hombre
42.0,1.0,1.0,11.0,0.2238,30-44,Urbana,Hombre
64.0,2.0,1.0,15.0,0.38036,60+,Urbana,Mujer
54.0,1.0,1.0,6.0,1.40861,45-59,Urbana,Hombre
42.0,2.0,1.0,5.0,1.70095,30-44,Urbana,Mujer
76.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
65.0,2.0,1.0,9.0,0.51686,60+,Urbana,Mujer
66.0,1.0,1.0,9.0,0.71887,60+,Urbana,Hombre
73.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
30.0,1.0,1.0,9.0,0.55898,30-44,Urbana,Hombre
57.0,1.0,1.0,15.0,0.5904,45-59,Urbana,Hombre
58.0,1.0,1.0,13.0,4.73395,45-59,Urbana,Hombre
28.0,1.0,1.0,13.0,6.93201,18-29,Urbana,Hombre
70.0,2.0,1.0,13.0,5.74333,60+,Urbana,Mujer
70.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
67.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
33.0,1.0,1.0,9.0,0.55898,30-44,Urbana,Hombre
32.0,2.0,1.0,9.0,0.71887,30-44,Urbana,Mujer
62.0,1.0,1.0,9.0,0.38174,60+,Urbana,Hombre
79.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
63.0,1.0,1.0,13.0,6.93201,60+,Urbana,Hombre
83.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
55.0,1.0,2.0,16.0,0.38913,45-59,Rural,Hombre
68.0,2.0,2.0,16.0,0.2507,60+,Rural,Mujer
52.0,1.0,2.0,16.0,0.52688,45-59,Rural,Hombre
66.0,1.0,2.0,16.0,0.38913,60+,Rural,Hombre
51.0,1.0,2.0,16.0,0.3671,45-59,Rural,Hombre
76.0,2.0,2.0,16.0,0.38913,60+,Rural,Mujer
50.0,1.0,2.0,16.0,0.52688,45-59,Rural,Hombre
73.0,1.0,2.0,16.0,0.38913,60+,Rural,Hombre
74.0,1.0,2.0,16.0,0.2507,60+,Rural,Hombre
70.0,1.0,2.0,16.0,0.33944,60+,Rural,Hombre
79.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
73.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
79.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
52.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
88.0,1.0,2.0,16.0,0.38913,60+,Rural,Hombre
58.0,1.0,1.0,4.0,0.59866,45-59,Urbana,Hombre
26.0,1.0,2.0,16.0,0.56981,18-29,Rural,Hombre
72.0,2.0,2.0,16.0,0.2507,60+,Rural,Mujer
64.0,1.0,2.0,16.0,0.2507,60+,Rural,Hombre
57.0,1.0,2.0,16.0,0.2507,45-59,Rural,Hombre
35.0,2.0,2.0,16.0,0.33944,30-44,Rural,Mujer
76.0,1.0,2.0,16.0,0.52688,60+,Rural,Hombre
52.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
56.0,1.0,1.0,13.0,4.12944,45-59,Urbana,Hombre
57.0,1.0,1.0,6.0,0.65249,45-59,Urbana,Hombre
77.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
56.0,2.0,2.0,16.0,0.2507,45-59,Rural,Mujer
37.0,2.0,2.0,16.0,0.52688,30-44,Rural,Mujer
56.0,1.0,2.0,16.0,0.38913,45-59,Rural,Hombre
50.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
50.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
38.0,1.0,1.0,6.0,0.70566,30-44,Urbana,Hombre
46.0,2.0,2.0,16.0,0.52688,45-59,Rural,Mujer
73.0,2.0,1.0,16.0,0.29381,60+,Urbana,Mujer
66.0,1.0,2.0,16.0,0.2507,60+,Rural,Hombre
53.0,2.0,1.0,6.0,0.65249,45-59,Urbana,Mujer
68.0,1.0,2.0,16.0,0.2507,60+,Rural,Hombre
48.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
67.0,1.0,2.0,16.0,0.73279,60+,Rural,Hombre
55.0,1.0,2.0,16.0,0.3671,45-59,Rural,Hombre
57.0,2.0,2.0,16.0,0.4721,45-59,Rural,Mujer
20.0,2.0,1.0,1.0,1.02566,18-29,Urbana,Mujer
68.0,1.0,1.0,11.0,0.16529,60+,Urbana,Hombre
46.0,2.0,2.0,16.0,0.33944,45-59,Rural,Mujer
79.0,2.0,2.0,16.0,0.2507,60+,Rural,Mujer
48.0,1.0,1.0,1.0,1.59203,45-59,Urbana,Hombre
70.0,1.0,1.0,15.0,0.86453,60+,Urbana,Hombre
54.0,1.0,1.0,11.0,0.48315,45-59,Urbana,Hombre
34.0,2.0,1.0,1.0,0.79754,30-44,Urbana,Mujer
28.0,2.0,1.0,1.0,0.79754,18-29,Urbana,Mujer
27.0,2.0,1.0,1.0,0.79754,18-29,Urbana,Mujer
43.0,2.0,1.0,1.0,0.73745,30-44,Urbana,Mujer
61.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
87.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
70.0,1.0,1.0,9.0,0.51686,60+,Urbana,Hombre
29.0,1.0,1.0,9.0,0.86765,18-29,Urbana,Hombre
70.0,1.0,1.0,9.0,0.38174,60+,Urbana,Hombre
50.0,2.0,1.0,1.0,0.73745,45-59,Urbana,Mujer
70.0,1.0,1.0,9.0,0.38174,60+,Urbana,Hombre
79.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
75.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
54.0,2.0,1.0,9.0,0.51686,45-59,Urbana,Mujer
58.0,2.0,1.0,9.0,0.38174,45-59,Urbana,Mujer
57.0,2.0,1.0,6.0,0.4819,45-59,Urbana,Mujer
60.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
58.0,1.0,1.0,6.0,0.748,45-59,Urbana,Hombre
69.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
57.0,2.0,1.0,6.0,0.4819,45-59,Urbana,Mujer
74.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
37.0,1.0,1.0,1.0,1.14467,30-44,Urbana,Hombre
59.0,1.0,1.0,16.0,0.29381,45-59,Urbana,Hombre
58.0,1.0,1.0,11.0,0.25656,45-59,Urbana,Hombre
57.0,1.0,1.0,16.0,0.39782,45-59,Urbana,Hombre
88.0,1.0,1.0,16.0,0.61749,60+,Urbana,Hombre
59.0,1.0,1.0,16.0,0.45606,45-59,Urbana,Hombre
70.0,1.0,1.0,16.0,0.29381,60+,Urbana,Hombre
81.0,2.0,1.0,16.0,0.29381,60+,Urbana,Mujer
57.0,1.0,1.0,13.0,8.91477,45-59,Urbana,Hombre
57.0,1.0,1.0,13.0,4.73395,45-59,Urbana,Hombre
57.0,1.0,1.0,16.0,0.45606,45-59,Urbana,Hombre
38.0,1.0,1.0,16.0,0.39782,30-44,Urbana,Hombre
27.0,1.0,1.0,4.0,0.87663,18-29,Urbana,Hombre
27.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
55.0,1.0,1.0,16.0,0.45606,45-59,Urbana,Hombre
46.0,2.0,1.0,4.0,0.52221,45-59,Urbana,Mujer
70.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
59.0,2.0,1.0,13.0,3.04984,45-59,Urbana,Mujer
74.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
82.0,2.0,1.0,13.0,4.12944,60+,Urbana,Mujer
43.0,1.0,1.0,16.0,0.39782,30-44,Urbana,Hombre
60.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
22.0,2.0,1.0,16.0,0.5533,18-29,Urbana,Mujer
62.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
